date,metric_type,Provider Name,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps,Minimum Latency,Test Count,Sample Count,User Count
10/30/2024,median,BeeOnline,52667,40131,52.67,40.13,4,107,22,48
10/30/2024,median,iZONE,38844,38956,38.84,38.96,3,176,46,85
10/30/2024,median,Connect CJSC,52848,49018,52.85,49.02,3,108,26,61
10/30/2024,median,Selnet,40273,49583,40.27,49.58,5,415,124,235
10/30/2024,median,Bulud Telecom,43484,49322,43.48,49.32,6,174,50,89
10/30/2024,median,Metronet,40681,41387,40.68,41.39,5,189,63,106
10/31/2024,mean,All Providers Combined,101519,107081,101.52,107.08,12,21632,5614,10374
10/31/2024,mean,Citynet,95054,95635,95.05,95.64,9,3170,932,1578
10/31/2024,mean,EngiNet,62494,62602,62.49,62.6,11,689,219,408
10/31/2024,mean,Aztelekom,117035,129594,117.04,129.59,15,4548,1049,2074
10/31/2024,mean,Azeronline,118512,141726,118.51,141.73,27,2808,593,1131
10/31/2024,mean,Baktelekom,167044,158163,167.04,158.16,9,3498,987,1865
10/31/2024,mean,ULTEL,70735,75200,70.74,75.2,7,291,79,139
10/31/2024,mean,Delta Telecom,54198,60256,54.2,60.26,14,577,189,333
10/31/2024,mean,Smart Online,42762,38183,42.76,38.18,9,103,28,56
10/31/2024,mean,alfanet,49240,52044,49.24,52.04,6,156,61,108
10/31/2024,mean,Teleport,25892,26536,25.89,26.54,26,277,64,99
10/31/2024,mean,Azeurotel,66542,70078,66.54,70.08,10,262,83,127
10/31/2024,mean,GSP,51572,92868,51.57,92.87,8,246,77,139
10/31/2024,mean,KATV 1,64129,65796,64.13,65.8,5,2251,605,1215
10/31/2024,mean,Caspian Telecom,61203,64138,61.2,64.14,4,610,159,324
10/31/2024,mean,AzFiberNet,156375,151420,156.38,151.42,6,172,56,91
10/31/2024,mean,BeeOnline,54692,39267,54.69,39.27,7,205,30,56
10/31/2024,mean,iZONE,64661,60048,64.66,60.05,4,111,28,70
10/31/2024,mean,Connect CJSC,58359,70512,58.36,70.51,4,104,37,62
10/31/2024,mean,Selnet,41549,72949,41.55,72.95,6,426,135,244
10/31/2024,mean,Bulud Telecom,53729,49428,53.73,49.43,10,163,48,81
10/31/2024,mean,Metronet,52747,59649,52.75,59.65,7,264,64,118
10/31/2024,median,All Providers Combined,58972,64984,58.97,64.98,5,21632,5614,10374
10/31/2024,median,Citynet,83983,78875,83.98,78.88,5,3170,932,1578
10/31/2024,median,EngiNet,48798,44025,48.8,44.03,5,689,219,408
10/31/2024,median,Aztelekom,51276,69920,51.28,69.92,9,4548,1049,2074
10/31/2024,median,Azeronline,58215,88073,58.22,88.07,14,2808,593,1131
10/31/2024,median,Baktelekom,79584,81537,79.58,81.54,4,3498,987,1865
10/31/2024,median,ULTEL,70939,81559,70.94,81.56,3,291,79,139
10/31/2024,median,Delta Telecom,38723,40220,38.72,40.22,4,577,189,333
10/31/2024,median,Smart Online,33127,25101,33.13,25.1,3,103,28,56
10/31/2024,median,alfanet,51610,51092,51.61,51.09,3,156,61,108
10/31/2024,median,Teleport,24012,28356,24.01,28.36,5,277,64,99
10/31/2024,median,Azeurotel,52755,48750,52.76,48.75,4,262,83,127
10/31/2024,median,GSP,48798,50002,48.8,50,4,246,77,139
10/31/2024,median,KATV 1,70642,74433,70.64,74.43,3,2251,605,1215
10/31/2024,median,Caspian Telecom,66655,72927,66.66,72.93,4,610,159,324
10/31/2024,median,AzFiberNet,64955,69742,64.96,69.74,3,172,56,91
10/31/2024,median,BeeOnline,43468,37938,43.47,37.94,4,205,30,56
10/31/2024,median,iZONE,70196,59739,70.2,59.74,2,111,28,70
10/31/2024,median,Connect CJSC,41018,53254,41.02,53.25,3,104,37,62
10/31/2024,median,Selnet,38350,52592,38.35,52.59,6,426,135,244
10/31/2024,median,Bulud Telecom,37728,37316,37.73,37.32,6,163,48,81
10/31/2024,median,Metronet,42665,42136,42.67,42.14,4,264,64,118
11/1/2024,mean,All Providers Combined,102279,107720,102.28,107.72,10,22266,5731,10740
11/1/2024,mean,Citynet,97087,99436,97.09,99.44,8,3173,905,1612
11/1/2024,mean,EngiNet,61336,61244,61.34,61.24,11,625,182,369
11/1/2024,mean,Aztelekom,129735,139408,129.74,139.41,14,4278,989,1979
11/1/2024,mean,Azeronline,117720,141427,117.72,141.43,26,2743,592,1152
11/1/2024,mean,Baktelekom,157018,150060,157.02,150.06,8,3813,1081,1991
11/1/2024,mean,ULTEL,75810,72502,75.81,72.5,7,267,82,146
11/1/2024,mean,Delta Telecom,62091,67284,62.09,67.28,12,772,236,407
11/1/2024,mean,Smart Online,29947,20822,29.95,20.82,7,115,28,63
11/1/2024,mean,TransEuroCom,60001,59995,60,60,5,109,32,50
11/1/2024,mean,alfanet,50548,51620,50.55,51.62,6,211,59,116
11/1/2024,mean,Teleport,28266,30391,28.27,30.39,14,175,56,95
11/1/2024,mean,Azeurotel,79096,79414,79.1,79.41,5,244,65,118
11/1/2024,mean,Sazz,116903,193057,116.9,193.06,7,147,24,43
11/1/2024,mean,GSP,51560,81291,51.56,81.29,7,269,81,145
11/1/2024,mean,KATV 1,64838,66394,64.84,66.39,4,2604,710,1402
11/1/2024,mean,Caspian Telecom,60318,64379,60.32,64.38,5,623,171,331
11/1/2024,mean,AzFiberNet,71276,75116,71.28,75.12,5,187,58,103
11/1/2024,mean,BeeOnline,57466,49267,57.47,49.27,4,123,36,72
11/1/2024,mean,iZONE,53284,56045,53.28,56.05,7,132,44,86
11/1/2024,mean,Connect CJSC,54149,66782,54.15,66.78,23,130,32,60
11/1/2024,mean,FlexNET,31575,32249,31.58,32.25,10,120,31,47
11/1/2024,mean,SHAKH Telecom,56994,58264,56.99,58.26,4,116,27,54
11/1/2024,mean,Selnet,48437,92183,48.44,92.18,6,448,108,208
11/1/2024,mean,Bulud Telecom,50753,53672,50.75,53.67,7,199,49,92
11/1/2024,mean,Metronet,60570,69993,60.57,69.99,6,224,53,119
11/1/2024,median,All Providers Combined,58948,66448,58.95,66.45,5,22266,5731,10740
11/1/2024,median,Citynet,84442,79819,84.44,79.82,4,3173,905,1612
11/1/2024,median,EngiNet,46988,44440,46.99,44.44,5,625,182,369
11/1/2024,median,Aztelekom,56531,77879,56.53,77.88,9,4278,989,1979
11/1/2024,median,Azeronline,57847,92122,57.85,92.12,14,2743,592,1152
11/1/2024,median,Baktelekom,73948,76335,73.95,76.34,4,3813,1081,1991
11/1/2024,median,ULTEL,73957,76084,73.96,76.08,3,267,82,146
11/1/2024,median,Delta Telecom,40567,41614,40.57,41.61,4,772,236,407
11/1/2024,median,Smart Online,28633,21512,28.63,21.51,4,115,28,63
11/1/2024,median,TransEuroCom,43787,55683,43.79,55.68,4,109,32,50
11/1/2024,median,alfanet,49796,50775,49.8,50.78,3,211,59,116
11/1/2024,median,Teleport,28356,31276,28.36,31.28,9,175,56,95
11/1/2024,median,Azeurotel,64184,53194,64.18,53.19,4,244,65,118
11/1/2024,median,Sazz,97724,166236,97.72,166.24,4,147,24,43
11/1/2024,median,GSP,40304,42690,40.3,42.69,5,269,81,145
11/1/2024,median,KATV 1,71622,80404,71.62,80.4,3,2604,710,1402
11/1/2024,median,Caspian Telecom,68604,72793,68.6,72.79,4,623,171,331
11/1/2024,median,AzFiberNet,53377,44387,53.38,44.39,3,187,58,103
11/1/2024,median,BeeOnline,49692,47581,49.69,47.58,4,123,36,72
11/1/2024,median,iZONE,38875,38059,38.88,38.06,3,132,44,86
11/1/2024,median,Connect CJSC,33506,32277,33.51,32.28,3,130,32,60
11/1/2024,median,FlexNET,30217,33244,30.22,33.24,8,120,31,47
11/1/2024,median,SHAKH Telecom,51879,57274,51.88,57.27,4,116,27,54
11/1/2024,median,Selnet,39368,54499,39.37,54.5,5,448,108,208
11/1/2024,median,Bulud Telecom,43771,44725,43.77,44.73,5,199,49,92
11/1/2024,median,Metronet,51204,51442,51.2,51.44,4,224,53,119
11/2/2024,mean,All Providers Combined,109527,109419,109.53,109.42,10,22482,6008,11345
11/2/2024,mean,Citynet,93231,98293,93.23,98.29,10,3778,1091,1878
11/2/2024,mean,EngiNet,61582,61895,61.58,61.9,11,723,229,438
11/2/2024,mean,Aztelekom,149131,137470,149.13,137.47,12,4155,1051,2143
11/2/2024,mean,Azeronline,151211,161460,151.21,161.46,23,2175,566,1112
11/2/2024,mean,Baktelekom,160321,154597,160.32,154.6,9,3679,1115,2043
11/2/2024,mean,ULTEL,118140,101621,118.14,101.62,9,341,83,153
11/2/2024,mean,Delta Telecom,52700,55664,52.7,55.66,12,494,132,265
11/2/2024,mean,alfanet,51821,53889,51.82,53.89,10,208,60,119
11/2/2024,mean,Teleport,35480,35776,35.48,35.78,10,210,56,88
11/2/2024,mean,Azeurotel,64574,72676,64.57,72.68,9,244,59,105
11/2/2024,mean,Sazz,267813,318065,267.81,318.07,13,150,21,32
11/2/2024,mean,GSP,44593,48272,44.59,48.27,5,249,55,130
11/2/2024,mean,KATV 1,63916,65268,63.92,65.27,5,2888,726,1546
11/2/2024,mean,Caspian Telecom,62615,64672,62.62,64.67,5,785,210,393
11/2/2024,mean,AzFiberNet,140209,153394,140.21,153.39,5,144,41,78
11/2/2024,mean,Rahat Telecom,62106,65608,62.11,65.61,5,186,43,97
11/2/2024,mean,BeeOnline,65550,51297,65.55,51.3,7,160,52,97
11/2/2024,mean,iZONE,70657,69038,70.66,69.04,6,196,66,107
11/2/2024,mean,Connect CJSC,54344,61031,54.34,61.03,5,147,34,81
11/2/2024,mean,FlexNET,35941,36182,35.94,36.18,9,118,32,53
11/2/2024,mean,SHAKH Telecom,55590,53377,55.59,53.38,6,122,25,56
11/2/2024,mean,Selnet,42148,83699,42.15,83.7,7,370,106,202
11/2/2024,mean,Bulud Telecom,44661,46254,44.66,46.25,12,187,55,96
11/2/2024,mean,Metronet,46122,44916,46.12,44.92,6,265,66,127
11/2/2024,median,All Providers Combined,66862,69120,66.86,69.12,5,22482,6008,11345
11/2/2024,median,Citynet,85477,81031,85.48,81.03,4,3778,1091,1878
11/2/2024,median,EngiNet,47799,43640,47.8,43.64,5,723,229,438
11/2/2024,median,Aztelekom,74461,71942,74.46,71.94,8,4155,1051,2143
11/2/2024,median,Azeronline,93919,96286,93.92,96.29,11,2175,566,1112
11/2/2024,median,Baktelekom,79298,82215,79.3,82.22,4,3679,1115,2043
11/2/2024,median,ULTEL,77092,84070,77.09,84.07,3,341,83,153
11/2/2024,median,Delta Telecom,39376,39650,39.38,39.65,4,494,132,265
11/2/2024,median,alfanet,53705,51142,53.71,51.14,3,208,60,119
11/2/2024,median,Teleport,33560,33076,33.56,33.08,7,210,56,88
11/2/2024,median,Azeurotel,59159,68727,59.16,68.73,4,244,59,105
11/2/2024,median,Sazz,159463,286677,159.46,286.68,5,150,21,32
11/2/2024,median,GSP,41071,44396,41.07,44.4,5,249,55,130
11/2/2024,median,KATV 1,69201,76223,69.2,76.22,3,2888,726,1546
11/2/2024,median,Caspian Telecom,71433,75721,71.43,75.72,3,785,210,393
11/2/2024,median,AzFiberNet,57185,73745,57.19,73.75,3,144,41,78
11/2/2024,median,Rahat Telecom,72692,70415,72.69,70.42,3,186,43,97
11/2/2024,median,BeeOnline,51548,45070,51.55,45.07,4,160,52,97
11/2/2024,median,iZONE,47974,44335,47.97,44.34,3,196,66,107
11/2/2024,median,Connect CJSC,39463,45018,39.46,45.02,3,147,34,81
11/2/2024,median,FlexNET,38424,37571,38.42,37.57,5,118,32,53
11/2/2024,median,SHAKH Telecom,43262,41990,43.26,41.99,6,122,25,56
11/2/2024,median,Selnet,40153,51552,40.15,51.55,6,370,106,202
11/2/2024,median,Bulud Telecom,40321,38245,40.32,38.25,5,187,55,96
11/2/2024,median,Metronet,41762,38833,41.76,38.83,4,265,66,127
11/3/2024,mean,All Providers Combined,106919,106461,106.92,106.46,9,20996,5913,10997
